epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,52.0142,2.0823,2.34682,2.05264,0.57292,0.53711,0.46395,0.14258,2.22822,2.33609,2.22653,0.0011882,0.0011882,0.0011882
43,52.9639,2.01248,2.11837,1.97339,0.68072,0.7,0.64054,0.1919,2.1576,2.18066,2.20069,0.0011684,0.0011684,0.0011684
44,53.9443,2.05641,2.06184,1.99606,0.51868,0.55,0.53207,0.15278,2.17325,2.14774,2.19322,0.0011486,0.0011486,0.0011486
45,54.9059,1.91579,2.21484,1.99816,0.72132,0.7,0.71189,0.18261,2.15536,2.1393,2.1862,0.0011288,0.0011288,0.0011288
46,55.8686,1.91219,2.20049,2.10431,0.78196,0.71786,0.66878,0.1962,2.06755,2.33996,2.13731,0.001109,0.001109,0.001109
47,56.8295,2.04482,2.27963,2.13675,0.71206,0.65,0.59303,0.19737,2.04454,2.25974,2.1479,0.0010892,0.0010892,0.0010892
48,57.7878,1.94744,2.142,2.10076,0.51594,0.6,0.47172,0.1444,2.11233,2.14636,2.2696,0.0010694,0.0010694,0.0010694
49,58.7476,1.93075,2.10414,2.0469,0.44383,0.55,0.40452,0.1282,2.09234,2.1267,2.24119,0.0010496,0.0010496,0.0010496
50,59.7044,1.82406,2.18469,1.96595,0.18682,0.7,0.43484,0.13284,2.24844,2.11372,2.27516,0.0010298,0.0010298,0.0010298
51,60.6547,1.80525,2.06898,1.92597,0.22498,0.8,0.51364,0.14986,2.08108,2.18779,2.13757,0.00101,0.00101,0.00101
52,61.6241,1.86227,2.05563,1.92464,0.3503,0.70096,0.43385,0.12724,1.97368,2.22098,2.08928,0.0009902,0.0009902,0.0009902
53,62.5757,1.90661,2.09604,1.98653,0.34498,0.36921,0.33675,0.08943,2.08514,2.28231,2.1582,0.0009704,0.0009704,0.0009704
54,63.5314,1.80218,2.10946,1.89473,0.36875,0.73049,0.58006,0.14915,2.10788,2.2387,2.11899,0.0009506,0.0009506,0.0009506
55,64.4767,1.75445,1.97121,1.8606,0.43178,0.7,0.589,0.15183,2.12969,2.29991,2.12079,0.0009308,0.0009308,0.0009308
56,65.4515,2.22328,2.09584,2.25884,0.47123,0.6,0.53819,0.18235,2.2692,2.40173,2.18845,0.000911,0.000911,0.000911
57,66.4045,1.91878,2.07183,2.04142,0.47181,0.6,0.51719,0.15537,2.29671,2.29785,2.24636,0.0008912,0.0008912,0.0008912
58,67.3715,1.8884,1.90785,1.96081,0.44936,0.5,0.42049,0.1221,2.23654,2.11212,2.24444,0.0008714,0.0008714,0.0008714
59,68.3275,1.90169,2.06086,1.94672,0.53331,0.55,0.47985,0.13691,2.05507,2.15641,2.08552,0.0008516,0.0008516,0.0008516
60,69.2967,1.89065,2.0137,1.93441,0.56714,0.55,0.42953,0.14854,2.04551,2.19681,2.04678,0.0008318,0.0008318,0.0008318
61,70.2634,1.82812,2.05151,1.87943,0.60425,0.6,0.48603,0.15197,2.08544,2.22772,2.06634,0.000812,0.000812,0.000812
62,71.223,1.85708,2.10585,1.91997,0.41606,0.65,0.49249,0.14497,2.09385,2.32408,2.06517,0.0007922,0.0007922,0.0007922
63,72.2041,1.83834,2.04251,1.87731,0.5549,0.65,0.47729,0.13915,2.06835,2.33926,2.03576,0.0007724,0.0007724,0.0007724
64,73.1929,1.81229,1.99628,1.9183,0.44067,0.65,0.59162,0.15116,2.17924,2.28641,2.13964,0.0007526,0.0007526,0.0007526
65,74.1495,1.8833,1.99545,1.89291,0.43326,0.65,0.58725,0.14426,2.19089,2.26478,2.15985,0.0007328,0.0007328,0.0007328
66,75.1201,1.87556,1.93468,1.92349,0.51945,0.55,0.44623,0.12999,2.11294,2.25313,2.16163,0.000713,0.000713,0.000713
67,76.071,1.8625,1.98955,1.85299,0.54245,0.5,0.42302,0.1368,2.08481,2.22924,2.13205,0.0006932,0.0006932,0.0006932
68,77.0298,1.80613,2.02573,1.86771,0.66535,0.6,0.55126,0.16478,1.98749,2.1396,2.06631,0.0006734,0.0006734,0.0006734
69,77.9916,1.73632,1.87647,1.80919,0.66364,0.59229,0.54561,0.17551,1.9404,2.20987,2.06087,0.0006536,0.0006536,0.0006536
70,78.9736,1.7643,1.86117,1.78615,0.65031,0.65,0.5701,0.16639,1.97122,2.27322,2.07706,0.0006338,0.0006338,0.0006338
71,79.9215,1.92777,1.93817,2.02642,0.6131,0.65,0.59379,0.15933,2.05599,2.23339,2.09961,0.000614,0.000614,0.000614
72,80.8942,1.81463,1.96076,1.87844,0.66881,0.65,0.58779,0.16779,2.1971,2.10496,2.13255,0.0005942,0.0005942,0.0005942
73,81.8573,1.7836,2.02662,1.82223,0.65451,0.65,0.6453,0.17699,2.25439,2.07229,2.14501,0.0005744,0.0005744,0.0005744
74,82.8296,1.79366,1.90013,1.81721,0.60744,0.65,0.60674,0.16254,2.37926,1.97256,2.16937,0.0005546,0.0005546,0.0005546
75,83.7871,1.85796,1.91196,1.82865,0.66743,0.7,0.69596,0.17744,2.36277,1.8595,2.11361,0.0005348,0.0005348,0.0005348
76,84.7585,1.8202,1.89179,1.8928,0.78021,0.8,0.75351,0.18766,2.30647,1.92772,2.14116,0.000515,0.000515,0.000515
77,85.7206,1.70664,1.80638,1.78237,0.79839,0.79237,0.83412,0.21454,2.29406,1.92778,2.14902,0.0004952,0.0004952,0.0004952
78,86.6916,1.67437,1.92401,1.79626,0.70489,0.65,0.72239,0.20503,2.23291,1.97004,2.15067,0.0004754,0.0004754,0.0004754
79,87.6429,1.9281,1.93263,2.06895,0.71161,0.65,0.72505,0.21271,2.22997,1.96634,2.1555,0.0004556,0.0004556,0.0004556
80,88.6169,1.81021,1.92091,1.906,0.76646,0.65,0.66216,0.20484,2.25287,1.99477,2.19491,0.0004358,0.0004358,0.0004358
81,89.5798,1.76602,1.888,1.84884,0.76732,0.65,0.67235,0.20928,2.26033,2.02136,2.20747,0.000416,0.000416,0.000416
82,90.5558,1.87405,1.99393,1.93196,0.6293,0.6,0.65639,0.21173,2.32744,1.89111,2.18041,0.0003962,0.0003962,0.0003962
83,91.5126,1.7994,1.86273,1.92524,0.70745,0.65,0.7192,0.2296,2.31441,1.86906,2.15573,0.0003764,0.0003764,0.0003764
84,92.4885,1.70828,1.86513,1.83485,0.78986,0.65,0.71859,0.22869,2.24989,1.88485,2.10624,0.0003566,0.0003566,0.0003566
85,93.4505,1.81357,1.88346,1.85134,0.79526,0.6,0.70659,0.21873,2.23048,1.88821,2.09114,0.0003368,0.0003368,0.0003368
86,94.4215,1.73832,1.8865,1.81579,0.79302,0.6,0.71807,0.20838,2.25526,1.89677,2.10258,0.000317,0.000317,0.000317
87,95.375,1.77852,2.12082,1.83882,0.87274,0.7,0.72992,0.18802,2.25132,1.94135,2.11297,0.0002972,0.0002972,0.0002972
88,96.3364,1.85298,1.88968,1.87675,0.93194,0.68537,0.74186,0.20147,2.18326,2.03815,2.10289,0.0002774,0.0002774,0.0002774
89,97.2904,1.59819,1.72691,1.76706,0.86292,0.65,0.72522,0.19059,2.18868,2.00369,2.09705,0.0002576,0.0002576,0.0002576
90,98.2524,1.7327,1.94451,1.9051,0.74519,0.6,0.63298,0.17243,2.19751,1.99279,2.12509,0.0002378,0.0002378,0.0002378
91,101.518,1.80498,2.02101,1.94971,0.72439,0.6,0.64857,0.18323,2.20537,1.99055,2.14432,0.000218,0.000218,0.000218
92,102.482,1.81872,1.85994,1.90863,0.78902,0.65,0.65844,0.18112,2.22096,2.0021,2.17031,0.0001982,0.0001982,0.0001982
93,103.441,1.80227,1.79114,1.82738,0.77941,0.65,0.66046,0.18858,2.23043,2.01002,2.16907,0.0001784,0.0001784,0.0001784
94,104.404,1.73783,1.76799,1.81762,0.81006,0.64025,0.64888,0.18606,2.2802,2.00909,2.18166,0.0001586,0.0001586,0.0001586
95,105.376,1.96662,1.75381,2.0173,0.80806,0.6,0.63473,0.17728,2.29968,2.00534,2.18878,0.0001388,0.0001388,0.0001388
96,106.372,1.82295,2.14632,1.94837,0.75506,0.6,0.637,0.18677,2.30865,2.01379,2.19647,0.000119,0.000119,0.000119
97,107.306,1.88794,1.93358,1.8795,0.70329,0.6,0.63501,0.17723,2.30243,2.00889,2.19327,9.92e-05,9.92e-05,9.92e-05
98,108.253,1.79141,1.77938,1.808,0.69349,0.6,0.64563,0.19302,2.29722,1.96541,2.18651,7.94e-05,7.94e-05,7.94e-05
99,109.195,1.70649,1.75067,1.7478,0.80772,0.6,0.64465,0.19349,2.28184,1.96181,2.17364,5.96e-05,5.96e-05,5.96e-05
100,110.167,1.74766,1.67989,1.85329,0.89495,0.65,0.7317,0.20827,2.26688,1.9366,2.15897,3.98e-05,3.98e-05,3.98e-05
