epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,45.7492,1.95238,2.14633,2.0281,0.67863,0.6341,0.5962,0.16308,2.20306,2.40516,2.44068,0.0011684,0.0011684,0.0011684
44,46.7222,1.92585,2.17498,2.0268,0.21547,0.3,0.2603,0.05803,2.434,2.72339,2.53731,0.0011486,0.0011486,0.0011486
45,47.6892,1.84253,2.13613,1.97574,0.39109,0.4,0.31931,0.07684,2.36882,2.74764,2.53282,0.0011288,0.0011288,0.0011288
46,48.6691,1.89407,2.25026,2.00898,0.51987,0.55,0.50068,0.16314,2.05384,2.59003,2.42991,0.001109,0.001109,0.001109
47,49.6456,1.89314,2.21667,2.01765,0.43958,0.45,0.44538,0.14552,2.18152,2.44724,2.4601,0.0010892,0.0010892,0.0010892
48,50.6216,1.95413,2.21963,2.085,0.61807,0.6,0.54702,0.11536,2.52404,2.34845,2.66592,0.0010694,0.0010694,0.0010694
49,51.594,1.88602,2.12736,1.98774,0.58473,0.6,0.49781,0.11221,2.48594,2.51687,2.68367,0.0010496,0.0010496,0.0010496
50,52.5774,1.89757,2.13389,1.97954,0.58704,0.6,0.47595,0.09044,2.60493,2.36034,2.7361,0.0010298,0.0010298,0.0010298
51,53.556,1.83604,2.04619,1.97117,0.50963,0.6,0.46995,0.09974,2.52522,2.47271,2.61137,0.00101,0.00101,0.00101
52,54.5341,1.9061,2.18107,1.96176,0.43267,0.55,0.42748,0.11816,2.54826,2.36965,2.61323,0.0009902,0.0009902,0.0009902
53,55.4996,1.95793,2.21362,2.06093,0.32195,0.55,0.49454,0.13153,2.45888,2.44543,2.52298,0.0009704,0.0009704,0.0009704
54,56.4792,1.86563,2.18015,1.97464,0.35442,0.5,0.40711,0.09881,2.44477,2.60184,2.58386,0.0009506,0.0009506,0.0009506
55,57.4484,1.96305,2.15665,2.11715,0.27056,0.3,0.32497,0.07792,2.60758,2.63851,2.71073,0.0009308,0.0009308,0.0009308
56,58.4272,2.1252,2.22609,2.26115,0.31545,0.25,0.25991,0.07264,2.7718,2.68123,2.76842,0.000911,0.000911,0.000911
57,59.3862,1.89532,2.15904,1.97438,0.37956,0.25,0.24299,0.07036,2.86305,2.75419,2.83534,0.0008912,0.0008912,0.0008912
58,60.385,1.99901,2.07577,2.07953,0.14004,0.15,0.13239,0.02179,3.2313,3.19702,3.11014,0.0008714,0.0008714,0.0008714
59,61.3643,1.96056,2.12644,1.99702,0.00584,0.2,0.04288,0.00702,3.29637,3.57704,3.09049,0.0008516,0.0008516,0.0008516
60,62.3543,1.90844,2.15955,1.99458,0.30562,0.3,0.21171,0.04607,2.77883,2.66763,2.76016,0.0008318,0.0008318,0.0008318
61,63.3233,1.88758,2.1656,1.99501,0.42099,0.45,0.40179,0.08823,2.66912,2.36433,2.76783,0.000812,0.000812,0.000812
62,64.3044,1.87824,2.1755,2.0325,0.3668,0.6,0.52392,0.13539,2.57659,2.40756,2.6752,0.0007922,0.0007922,0.0007922
63,65.2783,1.8657,2.10506,1.99835,0.45542,0.62766,0.57443,0.15558,2.57439,2.45878,2.6617,0.0007724,0.0007724,0.0007724
64,66.267,1.86085,1.99586,1.99627,0.45929,0.65,0.53055,0.13404,2.55038,2.38851,2.62608,0.0007526,0.0007526,0.0007526
65,67.2492,1.86093,2.11267,1.99586,0.48802,0.65,0.52423,0.1291,2.54667,2.31722,2.61348,0.0007328,0.0007328,0.0007328
66,68.2359,1.92125,2.15809,1.94363,0.59128,0.6,0.48355,0.11522,2.48,2.32336,2.59219,0.000713,0.000713,0.000713
67,69.1994,2.10867,2.05449,2.10661,0.43066,0.45,0.3106,0.08788,2.54386,2.32781,2.62181,0.0006932,0.0006932,0.0006932
68,70.1946,1.89857,2.18406,1.96888,0.36381,0.4,0.3261,0.08511,2.71058,2.20903,2.75803,0.0006734,0.0006734,0.0006734
69,71.1852,1.77486,2.00283,1.84409,0.37805,0.45,0.3766,0.09096,2.6163,2.14677,2.67407,0.0006536,0.0006536,0.0006536
70,72.1649,1.91371,2.00946,1.99127,0.49121,0.55,0.43681,0.1042,2.43524,2.1768,2.52378,0.0006338,0.0006338,0.0006338
71,73.1361,1.90022,1.95429,2.04227,0.48996,0.55,0.44293,0.10801,2.40738,2.24812,2.51167,0.000614,0.000614,0.000614
72,74.1382,1.83909,2.01552,1.94927,0.50615,0.55,0.44697,0.12513,2.37638,2.26155,2.49666,0.0005942,0.0005942,0.0005942
73,75.0981,1.90632,2.07988,2.02055,0.51183,0.55,0.45154,0.12374,2.37115,2.29552,2.50512,0.0005744,0.0005744,0.0005744
74,76.0775,1.92383,2.0312,1.986,0.51453,0.55,0.45546,0.10374,2.3848,2.36872,2.50413,0.0005546,0.0005546,0.0005546
75,77.048,1.81775,1.97154,1.90078,0.54269,0.55,0.49597,0.125,2.35972,2.32417,2.4033,0.0005348,0.0005348,0.0005348
76,78.0663,1.88998,2.12139,1.9632,0.3227,0.45,0.34551,0.09302,2.41755,2.41958,2.42834,0.000515,0.000515,0.000515
77,79.0414,1.76796,2.0177,1.8752,0.28041,0.4,0.27381,0.08475,2.40934,2.45217,2.42475,0.0004952,0.0004952,0.0004952
78,80.0148,2.06924,2.10412,2.25385,0.53177,0.55,0.39866,0.10913,2.37146,2.36632,2.44326,0.0004754,0.0004754,0.0004754
79,80.9783,1.91253,2.04181,1.98837,0.53578,0.55,0.4392,0.11692,2.26589,2.37266,2.42361,0.0004556,0.0004556,0.0004556
80,81.9531,1.81231,2.08954,1.85344,0.5699,0.6,0.5262,0.13893,2.27878,2.32857,2.41003,0.0004358,0.0004358,0.0004358
